date,time,open,high,low,close,tickvol,vol,spread
2025.09.18,05:13:00,147.035,147.040,147.019,147.024,53,0,0
2025.09.18,05:14:00,147.024,147.049,147.024,147.048,59,0,0
2025.09.18,05:15:00,147.048,147.057,147.021,147.024,42,0,0
2025.09.18,05:16:00,147.025,147.040,147.025,147.027,29,0,0
2025.09.18,05:17:00,147.026,147.042,147.023,147.038,57,0,0
2025.09.18,05:18:00,147.038,147.041,147.036,147.039,16,0,0
2025.09.18,05:19:00,147.039,147.050,147.033,147.038,29,0,0
2025.09.18,05:20:00,147.037,147.040,147.024,147.028,48,0,0
2025.09.18,05:21:00,147.028,147.030,146.999,147.004,62,0,0
2025.09.18,05:22:00,147.005,147.012,146.998,146.998,33,0,0
2025.09.18,05:23:00,146.997,146.997,146.964,146.973,50,0,0
2025.09.18,05:24:00,146.973,146.995,146.971,146.994,46,0,0
2025.09.18,05:25:00,146.994,146.995,146.963,146.963,67,0,0
2025.09.18,05:26:00,146.963,146.963,146.949,146.957,51,0,0
2025.09.18,05:27:00,146.956,146.973,146.955,146.973,50,0,0
2025.09.18,05:28:00,146.976,146.987,146.975,146.980,46,0,0
2025.09.18,05:29:00,146.980,146.984,146.973,146.981,57,0,0
2025.09.18,05:30:00,146.981,146.992,146.975,146.984,70,0,0
2025.09.18,05:31:00,146.984,146.996,146.984,146.995,35,0,0
2025.09.18,05:32:00,146.995,147.006,146.991,146.992,56,0,0
2025.09.18,05:33:00,146.992,147.008,146.992,147.008,40,0,0
2025.09.18,05:34:00,147.006,147.022,147.002,147.003,42,0,0
2025.09.18,05:35:00,147.003,147.006,146.994,147.004,49,0,0
2025.09.18,05:36:00,147.003,147.016,147.003,147.004,62,0,0
2025.09.18,05:37:00,147.004,147.009,146.999,147.004,46,0,0
2025.09.18,05:38:00,147.003,147.014,146.985,146.990,42,0,0
2025.09.18,05:39:00,146.988,146.992,146.981,146.983,33,0,0
2025.09.18,05:40:00,146.983,146.995,146.983,146.992,34,0,0
2025.09.18,05:41:00,146.992,147.015,146.992,147.015,41,0,0
2025.09.18,05:42:00,147.014,147.018,146.989,146.994,43,0,0
2025.09.18,05:43:00,146.994,146.996,146.992,146.995,16,0,0
2025.09.18,05:44:00,146.995,147.007,146.992,147.004,27,0,0
2025.09.18,05:45:00,147.002,147.006,147.002,147.005,29,0,1
2025.09.18,05:46:00,147.005,147.005,146.974,146.974,35,0,0
2025.09.18,05:47:00,146.974,146.976,146.947,146.953,66,0,0
2025.09.18,05:48:00,146.952,146.964,146.926,146.940,83,0,0
2025.09.18,05:49:00,146.940,146.943,146.927,146.928,53,0,0
2025.09.18,05:50:00,146.928,146.939,146.925,146.927,44,0,1
2025.09.18,05:51:00,146.926,146.936,146.913,146.913,45,0,0
2025.09.18,05:52:00,146.910,146.918,146.900,146.915,41,0,0
2025.09.18,05:53:00,146.915,146.923,146.915,146.917,26,0,0
2025.09.18,05:54:00,146.917,146.917,146.904,146.908,54,0,0
